Time [s],C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12
1290,24663,22170,11588,10780,4933,4197,2692,1818,1626,1009,388,147
1295,24723,21990,11801,10875,4854,4195,2701,1940,1659,1013,332,168
1300,24623,21759,11565,10809,4882,4047,2695,1793,1659,1007,340,159
1305,24410,21946,11640,10896,4845,4227,2659,1843,1665,1045,339,148
1310,24581,21748,11466,10898,4861,4232,2687,1872,1629,1036,344,149
1315,24326,21694,11627,10925,4945,4144,2716,1825,1729,1056,360,139
1320,24537,21929,11519,10836,4892,4186,2681,1808,1667,1026,385,159
1325,24514,21689,11653,10864,4889,4161,2738,1833,1643,1008,352,152
1330,24582,21838,11491,10792,4794,4090,2717,1842,1671,1045,344,138
1335,24819,21592,11608,10835,4828,4149,2718,1822,1606,994,350,139
1340,24375,21664,11541,10661,4830,4160,2682,1802,1635,1074,355,129
1345,24457,21871,11545,10771,4888,4132,2631,1800,1599,1024,351,144
1350,24553,21852,11475,10850,4770,4149,2614,1858,1635,1064,346,145
1355,24678,21807,11581,10775,4806,4191,2635,1874,1669,1053,328,143
1360,24176,22110,11562,10779,4813,4184,2665,1856,1658,1005,367,148
1365,24250,21519,11448,10850,4825,4209,2700,1778,1664,1031,327,157
1370,24488,21916,11436,10707,4861,4150,2687,1790,1625,1022,341,146
1375,24197,21850,11744,10683,4788,4165,2610,1810,1569,1019,321,147
1380,24510,21777,11434,10669,4914,4217,2679,1776,1693,1033,344,157
1385,24192,21721,11531,10868,4725,4122,2624,1821,1635,1020,369,144
1390,24514,21616,11585,10877,4801,4088,2681,1827,1612,1047,346,138
1395,24307,21524,11486,10877,4911,4200,2712,1829,1636,1012,354,147
1400,24055,21705,11540,10787,4800,4113,2605,1813,1619,1038,347,149
1405,24578,21564,11431,10691,4811,4109,2599,1839,1600,1042,372,162
1410,24211,21562,11530,10756,4844,4079,2672,1799,1600,1023,340,157
1415,24462,21584,11406,10837,4775,4052,2656,1788,1608,1039,356,155
1420,24172,21620,11417,10624,4800,4091,2658,1807,1586,1016,333,157
1425,24361,21570,11449,10833,4772,4171,2598,1772,1635,1017,329,142
1430,24584,21893,11446,10599,4695,4094,2683,1818,1623,1035,351,143
1435,24080,21639,11511,10643,4815,4060,2639,1741,1508,1004,332,162
1440,24197,21471,11425,10637,4813,4159,2698,1819,1642,1024,347,135
1445,24125,21500,11547,10783,4765,4058,2625,1743,1611,1027,343,157
1450,24313,21382,11348,10591,4758,4096,2649,1805,1598,1025,355,159
1455,24233,21337,11334,10780,4786,4091,2624,1792,1650,1022,358,154
1460,24074,21572,11229,10612,4787,4113,2683,1768,1640,1020,360,146
1465,24223,21440,11471,10689,4638,4106,2537,1826,1591,1026,345,159
1470,24221,21344,11244,10638,4742,4123,2655,1782,1606,1039,367,154
1475,23894,21379,11309,10700,4821,4111,2589,1794,1632,994,377,145
1480,24070,21465,11330,10491,4731,3985,2600,1809,1599,1023,372,132
1485,24161,21384,11311,10585,4839,4146,2648,1842,1608,1037,388,137
1490,24103,21717,11361,10517,4817,4182,2630,1740,1647,1006,330,141
1495,24067,21367,11391,10622,4762,4109,2647,1762,1636,1011,320,152
1500,24173,21407,11329,10595,4744,4079,2601,1806,1604,974,345,151
1505,24064,21369,11449,10623,4703,3978,2614,1801,1643,1014,341,171
1510,24060,21380,11383,10502,4766,4078,2590,1821,1600,1016,368,153
1515,24042,21696,11209,10714,4608,4072,2620,1789,1629,1006,342,141
1520,23866,21372,11414,10517,4745,4069,2591,1795,1562,1008,347,150
1525,24208,21499,11264,10605,4744,4074,2536,1777,1609,1013,338,145
1530,23926,21330,11249,10579,4788,4093,2610,1765,1571,988,349,150
1535,24079,21427,11340,10663,4717,4110,2643,1768,1611,1038,333,126
1540,24095,21499,11242,10481,4696,4125,2582,1825,1584,996,350,143
1545,23943,21417,11365,10682,4711,4035,2574,1820,1550,1024,326,144
1550,23757,21233,11271,10533,4705,4039,2550,1800,1610,1029,367,157
1555,24323,21619,11233,10511,4712,4144,2601,1797,1524,1038,364,144
1560,23970,21346,11308,10514,4596,3998,2603,1798,1600,1002,325,126
1565,23859,21605,11276,10562,4617,4102,2607,1779,1599,994,342,146
1570,24039,21351,11173,10592,4691,4056,2591,1768,1628,1038,333,134
1575,23897,20965,10985,10632,4649,4014,2644,1830,1639,987,331,150
1580,24098,21162,11196,10602,4662,4059,2555,1746,1556,1012,330,158
1585,23764,21055,11087,10370,4670,4042,2540,1813,1559,1019,337,138
1590,23883,21041,11321,10373,4711,4078,2591,1807,1567,1000,353,125
1595,23661,21032,11108,10519,4738,4039,2576,1774,1583,987,342,154
1600,23766,21223,11098,10518,4732,4038,2608,1807,1587,999,337,145
1605,24089,21523,11136,10401,4637,4017,2593,1761,1560,989,323,151
1610,24163,21245,11100,10555,4699,4023,2650,1815,1604,990,357,142
1615,23792,21243,11164,10536,4803,4022,2611,1803,1621,1024,337,156
1620,23666,20923,11281,10506,4589,3973,2556,1743,1580,980,341,145
1625,23632,21161,11166,10469,4715,4024,2579,1754,1630,1046,356,145
1630,23776,21196,11239,10454,4718,4018,2619,1771,1588,1022,342,125
1635,23450,21220,11256,10548,4626,3925,2528,1735,1582,1003,327,133
1640,23805,21195,11461,10315,4696,4035,2624,1824,1600,993,365,147
1645,23668,21367,11105,10365,4709,3997,2544,1761,1602,979,346,157
1650,23856,21089,11245,10537,4682,3933,2612,1751,1608,1020,355,143
1655,23886,21336,11064,10440,4671,4059,2601,1823,1598,1009,350,138
1660,23759,21067,11030,10483,4670,3974,2585,1778,1587,1002,344,145
1665,23626,21206,11136,10336,4636,3997,2632,1743,1581,1036,352,156
1670,23765,20848,11267,10525,4759,4039,2557,1764,1586,996,346,131
1675,23568,21350,11049,10348,4615,3981,2518,1755,1577,978,344,151
1680,23463,21047,11062,10267,4647,3965,2524,1747,1604,960,318,141
1685,23826,20956,11187,10229,4678,4078,2527,1773,1564,1019,344,145
1690,23358,21222,11048,10628,4535,3970,2523,1773,1556,1038,329,137
1695,23683,20848,11281,10269,4597,4006,2552,1797,1591,994,343,155
1700,23249,21004,10996,10410,4585,3879,2591,1769,1551,1019,345,152
1705,23701,21068,11067,10290,4527,3972,2510,1719,1601,962,350,143
1710,23493,21036,10953,10308,4654,3983,2564,1752,1527,1022,341,131
1715,23673,21005,11174,10265,4647,3994,2502,1702,1572,950,335,157
1720,23804,21065,11121,10233,4624,3965,2542,1752,1574,969,336,138
1725,23897,21019,11011,10258,4660,4028,2595,1717,1568,1040,344,149
1730,23631,20953,11080,10316,4671,4020,2524,1757,1593,1011,317,156
1735,23485,20941,11198,10450,4603,3974,2536,1746,1546,996,351,164
1740,23564,20962,11072,10390,4519,3971,2559,1789,1564,974,324,149
1745,23608,20863,11061,10421,4608,3925,2516,1739,1587,990,334,159
1750,23531,20864,11055,10368,4637,4015,2560,1707,1545,983,352,151
1755,23420,21003,11004,10327,4667,3975,2523,1726,1551,966,348,154
1760,23579,20973,11168,10105,4547,3949,2579,1752,1568,1048,343,140
1765,23568,20861,10945,10272,4583,4003,2505,1697,1596,989,337,149
1770,23725,20792,10959,10165,4610,3950,2555,1768,1568,970,343,136
1775,23360,20937,11013,10308,4558,4058,2567,1734,1527,996,361,158
1780,23250,20812,11157,10325,4595,3928,2507,1732,1566,962,354,143
1785,23624,20830,10926,10341,4536,3982,2459,1757,1585,963,340,149
1790,23360,20688,10989,10494,4619,3952,2528,1767,1570,1002,333,141
1795,23426,20733,11062,10272,4579,4045,2574,1730,1558,1006,343,156
1800,23564,20900,10916,10239,4525,3980,2557,1780,1548,989,324,156
1805,23532,20815,10909,10262,4710,3938,2490,1759,1575,981,325,143
1810,23407,20544,11113,10179,4567,3940,2568,1734,1530,976,335,152
1815,23520,21004,11004,10355,4633,3952,2537,1689,1569,1013,305,157
1820,23425,20800,10886,10204,4503,4000,2543,1734,1560,1019,357,159
1825,23459,20799,10994,10289,4572,3936,2463,1677,1542,993,356,154
1830,23284,20694,10996,10128,4600,3941,2534,1743,1518,1013,372,134
1835,23733,20822,11157,10222,4624,3873,2517,1742,1496,1030,328,164
1840,23339,20978,10931,10235,4664,3941,2544,1749,1558,1014,358,138
1845,23576,20662,11065,10166,4571,3906,2525,1756,1556,973,328,148
1850,23171,20808,10913,10070,4555,3947,2473,1733,1563,996,354,147
1855,23346,20975,10806,10350,4566,3893,2486,1784,1517,984,356,146
1860,23256,20843,10931,10110,4512,3907,2492,1764,1535,1002,344,151
1865,23384,20660,10779,10163,4600,3961,2484,1744,1591,1009,342,144
1870,23319,20573,10907,10053,4490,3911,2525,1707,1564,955,348,144
1875,23091,20614,10837,10180,4493,3905,2464,1717,1563,1000,334,153
1880,23244,20566,10838,10165,4626,3866,2463,1754,1603,954,338,144
1885,23477,20839,10854,10217,4521,3967,2417,1773,1563,1046,319,169
1890,23191,20635,10849,10191,4462,3877,2488,1714,1549,992,353,139
1895,23417,20669,10658,10158,4510,3934,2504,1749,1587,972,336,139
